"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
10,"TPL2","4","19","female","Recall","Meaning","1","4","contumacious","rebellious","1","rebellious","7146"
10,"TPL2","4","19","female","Recall","Meaning","1","5","stolid","unemotional","0","noisy","22741"
10,"TPL2","4","19","female","Recall","Meaning","1","6","esculent","edible","0","excellent","29164"
10,"TPL2","4","19","female","Recall","Meaning","1","7","roil","billow","0","mist","6634"
10,"TPL2","4","19","female","Recall","Meaning","1","8","immolate","sacrifice","0","immitate","34401"
10,"TPL2","4","19","female","Recall","Meaning","1","9","inimical","hostile","1","hostile","58965"
10,"TPL2","4","19","female","Recall","Meaning","1","10","lassitude","tiredness","1","tiredness","33048"
10,"TPL2","4","19","female","Recall","Meaning","1","11","stentorian","loud","1","loud","31252"
10,"TPL2","4","19","female","Recall","Meaning","1","12","recreant","surrendering","0","scared","26595"
10,"TPL2","4","19","female","Recall","Meaning","1","13","maunder","ramble","0","billow","6645"
10,"TPL2","4","19","female","Recall","Meaning","1","14","superate","overcome","0","super","8825"
10,"TPL2","4","19","female","Recall","Meaning","1","15","immure","imprison","0","imprision","32314"
10,"TPL2","4","19","female","PracticeFirstWord",NA,"1","1","leggiadrous","elegant","0","leg","3155"
10,"TPL2","4","19","female","PracticeFirstWord",NA,"1","2","infandous","horrible","0","famous","2650"
10,"TPL2","4","19","female","PracticeFirstWord",NA,"1","3","desman","mole","0","man","2944"
10,"TPL2","4","19","female","First Word",NA,"1","1","encomium","tribute","0","economy","4474"
10,"TPL2","4","19","female","First Word",NA,"1","2","compendious","concise","0","competition","4546"
10,"TPL2","4","19","female","First Word",NA,"1","3","imprecation","curse","0","impactical","3753"
10,"TPL2","4","19","female","First Word",NA,"1","4","succursal","branch","0","success","4674"
10,"TPL2","4","19","female","First Word",NA,"1","5","spoffish","fussy","0","fish","2498"
10,"TPL2","4","19","female","First Word",NA,"1","6","everse","overthrow","0","ever","5001"
10,"TPL2","4","19","female","First Word",NA,"1","7","descry","discover","0","cry","2268"
10,"TPL2","4","19","female","First Word",NA,"1","8","picaroon","cheat","0","macaroon","3675"
10,"TPL2","4","19","female","First Word",NA,"1","9","subvention","grant","0","invention","5965"
10,"TPL2","4","19","female","First Word",NA,"1","10","gossamer","flimsy","0","gamer","3472"
10,"TPL2","4","19","female","First Word",NA,"1","11","slake","quench","0","snake","2977"
10,"TPL2","4","19","female","First Word",NA,"1","12","subduce","withdraw","0","seduce","4597"
10,"TPL2","4","19","female","First Word",NA,"1","13","minatory","threatening","0","minatare","7234"
10,"TPL2","4","19","female","First Word",NA,"1","14","opprobrium","disgrace","0","brum","8180"
10,"TPL2","4","19","female","First Word",NA,"1","15","subluxation","dislocation","0","relaxation","7650"
10,"TPL2","4","19","female","Recall","First Word","2","16","imprecation","curse","0","guilt","16477"
10,"TPL2","4","19","female","Recall","First Word","2","17","descry","discover","0","","39818"
10,"TPL2","4","19","female","Recall","First Word","2","18","picaroon","cheat","0","rogue","80720"
10,"TPL2","4","19","female","Recall","First Word","2","19","subduce","withdraw","1","withdraw","29953"
10,"TPL2","4","19","female","Recall","First Word","2","20","succursal","branch","1","branch","37421"
10,"TPL2","4","19","female","Recall","First Word","2","21","slake","quench","1","quench","35029"
10,"TPL2","4","19","female","Recall","First Word","2","22","spoffish","fussy","0","","58723"
10,"TPL2","4","19","female","Recall","First Word","2","23","subluxation","dislocation","1","dislocation","40797"
10,"TPL2","4","19","female","Recall","First Word","2","24","gossamer","flimsy","0","","47250"
10,"TPL2","4","19","female","Recall","First Word","2","25","encomium","tribute","1","tribute","7078"
10,"TPL2","4","19","female","Recall","First Word","2","26","minatory","threatening","0","threat","27141"
10,"TPL2","4","19","female","Recall","First Word","2","27","everse","overthrow","0","otherthrow","61446"
10,"TPL2","4","19","female","Recall","First Word","2","28","opprobrium","disgrace","0","","4916"
10,"TPL2","4","19","female","Recall","First Word","2","29","subvention","grant","1","grant","26766"
